403      GET       10l       30w      343c http://192.168.70.193/.well-known/apple-developer-merchantid-domain-association.jsp
403      GET       10l       30w      313c http://192.168.70.193/.well-known/assetlinks.json.jsp
403      GET       10l       30w      309c http://192.168.70.193/.well-known/autoconfig/mail
403      GET       10l       30w      303c http://192.168.70.193/.well-known/browserid
403      GET       10l       30w      301c http://192.168.70.193/.well-known/carddav
403      GET       10l       30w      324c http://192.168.70.193/.well-known/apple-app-site-association.jsp
403      GET       10l       30w      300c http://192.168.70.193/.well-known/caldav
403      GET       10l       30w      304c http://192.168.70.193/.well-known/ashrae.jsp
403      GET       10l       30w      309c http://192.168.70.193/.well-known/change-password
403      GET       10l       30w      298c http://192.168.70.193/.well-known/coap
403      GET       10l       30w      298c http://192.168.70.193/.well-known/core
403      GET       10l       30w      313c http://192.168.70.193/.well-known/autoconfig/mail.txt
403      GET       10l       30w      298c http://192.168.70.193/.well-known/csvm
403      GET       10l       30w      307c http://192.168.70.193/.well-known/browserid.txt
403      GET       10l       30w      305c http://192.168.70.193/.well-known/carddav.txt
403      GET       10l       30w      304c http://192.168.70.193/.well-known/caldav.txt
403      GET       10l       30w      302c http://192.168.70.193/.well-known/core.txt
403      GET       10l       30w      313c http://192.168.70.193/.well-known/change-password.txt
403      GET       10l       30w      297c http://192.168.70.193/.well-known/dnt
403      GET       10l       30w      314c http://192.168.70.193/.well-known/autoconfig/mail.html
403      GET       10l       30w      302c http://192.168.70.193/.well-known/coap.txt
403      GET       10l       30w      308c http://192.168.70.193/.well-known/browserid.html
403      GET       10l       30w      302c http://192.168.70.193/.well-known/csvm.txt
403      GET       10l       30w      306c http://192.168.70.193/.well-known/carddav.html
403      GET       10l       30w      305c http://192.168.70.193/.well-known/caldav.html
403      GET       10l       30w      301c http://192.168.70.193/.well-known/dnt.txt
403      GET       10l       30w      303c http://192.168.70.193/.well-known/core.html
403      GET       10l       30w      314c http://192.168.70.193/.well-known/change-password.html
403      GET       10l       30w      313c http://192.168.70.193/.well-known/autoconfig/mail.php
403      GET       10l       30w      303c http://192.168.70.193/.well-known/coap.html
403      GET       10l       30w      303c http://192.168.70.193/.well-known/csvm.html
403      GET       10l       30w      307c http://192.168.70.193/.well-known/browserid.php
403      GET       10l       30w      305c http://192.168.70.193/.well-known/carddav.php
403      GET       10l       30w      304c http://192.168.70.193/.well-known/caldav.php
403      GET       10l       30w      313c http://192.168.70.193/.well-known/change-password.php
403      GET       10l       30w      302c http://192.168.70.193/.well-known/dnt.html
403      GET       10l       30w      305c http://192.168.70.193/.well-known/carddav.asp
403      GET       10l       30w      313c http://192.168.70.193/.well-known/autoconfig/mail.asp
403      GET       10l       30w      307c http://192.168.70.193/.well-known/browserid.asp
403      GET       10l       30w      302c http://192.168.70.193/.well-known/coap.php
403      GET       10l       30w      304c http://192.168.70.193/.well-known/caldav.asp
403      GET       10l       30w      302c http://192.168.70.193/.well-known/csvm.php
403      GET       10l       30w      302c http://192.168.70.193/.well-known/core.php
403      GET       10l       30w      313c http://192.168.70.193/.well-known/change-password.asp
403      GET       10l       30w      314c http://192.168.70.193/.well-known/autoconfig/mail.aspx
403      GET       10l       30w      301c http://192.168.70.193/.well-known/dnt.php
403      GET       10l       30w      308c http://192.168.70.193/.well-known/browserid.aspx
403      GET       10l       30w      306c http://192.168.70.193/.well-known/carddav.aspx
403      GET       10l       30w      302c http://192.168.70.193/.well-known/csvm.asp
403      GET       10l       30w      305c http://192.168.70.193/.well-known/caldav.aspx
403      GET       10l       30w      302c http://192.168.70.193/.well-known/coap.asp
403      GET       10l       30w      302c http://192.168.70.193/.well-known/core.asp
403      GET       10l       30w      314c http://192.168.70.193/.well-known/change-password.aspx
403      GET       10l       30w      301c http://192.168.70.193/.well-known/dnt.asp
403      GET       10l       30w      307c http://192.168.70.193/.well-known/browserid.jsp
403      GET       10l       30w      305c http://192.168.70.193/.well-known/carddav.jsp
403      GET       10l       30w      313c http://192.168.70.193/.well-known/autoconfig/mail.jsp
403      GET       10l       30w      303c http://192.168.70.193/.well-known/csvm.aspx
403      GET       10l       30w      303c http://192.168.70.193/.well-known/coap.aspx
403      GET       10l       30w      304c http://192.168.70.193/.well-known/caldav.jsp
403      GET       10l       30w      303c http://192.168.70.193/.well-known/core.aspx
403      GET       10l       30w      302c http://192.168.70.193/.well-known/dnt.aspx
403      GET       10l       30w      308c http://192.168.70.193/.well-known/dnt-policy.txt
403      GET       10l       30w      313c http://192.168.70.193/.well-known/change-password.jsp
403      GET       10l       30w      299c http://192.168.70.193/.well-known/ecips
403      GET       10l       30w      298c http://192.168.70.193/.well-known/dots
403      GET       10l       30w      302c http://192.168.70.193/.well-known/csvm.jsp
403      GET       10l       30w      302c http://192.168.70.193/.well-known/coap.jsp
403      GET       10l       30w      302c http://192.168.70.193/.well-known/core.jsp
403      GET       10l       30w      323c http://192.168.70.193/.well-known/enterprise-transport-security
403      GET       10l       30w      303c http://192.168.70.193/.well-known/ecips.txt
403      GET       10l       30w      303c http://192.168.70.193/.well-known/host-meta
403      GET       10l       30w      301c http://192.168.70.193/.well-known/dnt.jsp
403      GET       10l       30w      297c http://192.168.70.193/.well-known/est
403      GET       10l       30w      298c http://192.168.70.193/.well-known/hoba
403      GET       10l       30w      327c http://192.168.70.193/.well-known/enterprise-transport-security.txt
403      GET       10l       30w      299c http://192.168.70.193/.well-known/genid
403      GET       10l       30w      302c http://192.168.70.193/.well-known/dots.txt
403      GET       10l       30w      312c http://192.168.70.193/.well-known/dnt-policy.txt.txt
403      GET       10l       30w      304c http://192.168.70.193/.well-known/ecips.html
403      GET       10l       30w      307c http://192.168.70.193/.well-known/host-meta.txt
403      GET       10l       30w      302c http://192.168.70.193/.well-known/hoba.txt
403      GET       10l       30w      328c http://192.168.70.193/.well-known/enterprise-transport-security.html
403      GET       10l       30w      301c http://192.168.70.193/.well-known/est.txt
403      GET       10l       30w      308c http://192.168.70.193/.well-known/host-meta.json
403      GET       10l       30w      303c http://192.168.70.193/.well-known/genid.txt
403      GET       10l       30w      303c http://192.168.70.193/.well-known/dots.html
403      GET       10l       30w      313c http://192.168.70.193/.well-known/dnt-policy.txt.html
403      GET       10l       30w      303c http://192.168.70.193/.well-known/ecips.php
403      GET       10l       30w      308c http://192.168.70.193/.well-known/host-meta.html
403      GET       10l       30w      303c http://192.168.70.193/.well-known/hoba.html
403      GET       10l       30w      327c http://192.168.70.193/.well-known/enterprise-transport-security.php
403      GET       10l       30w      302c http://192.168.70.193/.well-known/est.html
403      GET       10l       30w      304c http://192.168.70.193/.well-known/genid.html
